Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
AUSTRALIA,11:04:58,0:00:00,0:03:24,[04] Support,"On the various options listed to refer to human intervention or intervention by an operator, et cetera, we would be happy for this to be simplified to human intervention. However, echoing the point made by the US, we think referring to the operator may add clarity as to which human we are talking about.",,,,,,,,,,,,,,,,,,,[99] Something else,"ACT: [characterization] We think the phrase once activated is necessary to retain if the definition refers to further human intervention. Without the words once activated, it is unclear what the human intervention would be further to. The words once activated also add clarity about the part of the weapon system life cycle we are talking about. It helps demarcate what functions are performed autonomously after activation and without further human intervention.",,,[99] Something else,"once activated also add clarity about the part of the weapon system life cycle we are talking about [talking about adding ""after ativation"" in the definition]",,,,,,
SWITZERLAND,16:55:50,0:00:00,0:05:27,[04] Support,"So a human operator, that would be important for us. An operator, a human operator with the ability to control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPUBLIC OF KOREA,16:29:29,0:00:00,0:02:31,[04] Support,"[...] we also inserted the word "" intervention by an operator, "" human operator, because by definition, that would, I mean, relate to the subject, autonomous weapons. So it would not require any human involvement to have the effect of autonomous weapon systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,16:40:06,0:00:00,0:03:34,[04] Support,"defining an acceptable level of autonomy, Belgium rather is to consider the level of human control which would allow to adapt a human system to the respect of international humanitarian law. And in that regard, my Delegation has already spoken several times about the concept of meaningful human control which we support human intervention or intervention by an operator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,17:33:08,0:00:00,0:01:22,[04] Support,We are also open to further understanding the term agency. We would like also to join previous Delegations recommending adding human in the phrase intervention by a human operator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,10:40:37,0:00:00,0:10:21,[04] Support,"Now, if we look at the first part of this question, so one of the important elements of limitations is what we see, the need to ensure limitations on human control through the intervention of a human operator or the system of management at a higher level in order to change the regime of the functioning of such systems, including partial or full deactivation.",,,,,[99] Something else,TGT: [deployment] limitations in terms of types of targets,,,,,,,,,[04] Support,"TES/a: methods of ensuring human control as increasing the reliability of weapon systems and their failure rate, the timely intervention and deactivation, carrying out tests of lethal autonomous weapon systems in realistic operational conditions",,,[01] Caveat,"Use/ACT: one of the important elements of limitations is what we see, the need to ensure limitations on human control through the intervention of a human operator or the system of management at a higher level in order to change the regime of the functioning of such systems, including partial or full deactivation. And in all of that, we still continue to believe that in light of the responsibilities that states have and the responsibilities that individuals have in terms of the design and employment of weapon systems, the specific methods and forms of human control have to be left up to states to determine and decide. And in all of this, such human control should not necessarily be imposed through direct control, direct management.",,,,,,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),12:31:49,0:00:00,0:04:27,[04] Support,"design and programming and development and deployment of these weapons requires keeping human control because a machine cannot make the necessary value judgments or detect or interpret a nonintentional behavior, for example, in changing contexts as would be able to a human controller or operator.",,,,,,,,,,,,,[04] Support,"DEV: the design and programming and development and deployment of these weapons requires keeping human control because a machine cannot make the necessary value judgments or detect or interpret a nonintentional behavior, for example, in changing contexts as would be able to a human controller or operator",,,[04] Support,DEPLOY: deployment of these weapons requires keeping human control,[04] Support,Use/ACT: lack of meaningful human control to ensure that the use of force in armed conflict is incompatible with IHL and the capacity to intervene also contravenes its principle,,,,,,,,,,
PAKISTAN,11:25:17,0:00:00,0:08:08,[04] Support,"principles would ensure that human operators can comprehend and justify the actions taken by autonomous weapon systems, thereby upholding the IHL mandate of human responsibility for decisions made in the battlefield. So in that context, we are operationalizing and giving further means to apply those existing IHL principles.",,,,,,,,,,,,,,,,,[04] Support,DEPLOY: maintaining accountability and human oversight in the deployment,[04] Support,"Use/ACT:  mentions the changes the mode of operation including deactivation. I think we need to be more clear here when we talk about the option, the capability of having interruptibility during all stages of operation and use by a human so that compliance with the IHL could be adhered to at all times.",,,,,,,,,,
PAKISTAN,12:20:03,0:00:00,0:03:30,[04] Support,"echo the remarks made by ICRC that I think the appropriate training and instructions for human operators already, of course, agreed conclusion from 2023 could be moved to next section and we could make the language, we could improve the language to make it more binding.",,,,,,,,,,,,,,,,,[04] Support,TRA: echo the remarks made by ICRC that I think the appropriate training and instructions for human operators already,[04] Support,"Use/ACT: ensuring provisions for human users to intervene, interrupt and deactivate after activation and incorporation of self-destruct, self-deactivation or self-neutralization mechanism",,,,,,,,,,
COLOMBIA,12:33:40,0:00:00,0:02:06,[04] Support,"threshold of human control and necessary intervention to guarantee the maintenance of human intervention, the responsibility, proportionality and accountability in decision making over the use of any weapon and the capacity of human operators to effectively monitor any type of weapon to undertake necessary action which may be preventive and to deactivate completely the functioning of the weapon.",,,,,,,,,,,,,,,,,,,[04] Support,"Use/ACT: threshold of human control and necessary intervention to guarantee the maintenance of human intervention, the responsibility, proportionality and accountability in decision making over the use of any weapon and the capacity of human operators to effectively monitor any type of weapon to undertake necessary action which may be preventive and to deactivate completely the functioning of the weapon.",,,,,,,,,,
PHILIPPINES,11:45:07,0:00:00,0:00:52,[04] Support,"necessary to ensure the maintenance of human agency responsibility, proportionality and accountability regarding the potential use of any weapon and the ability of human operators to effectively supervise any weapon undertake the necessary interaction that could either be directive or preventive and to deactivate, terminate or abort the operation of the weapon altogether.",,,,,,,,,,,,,,,,,,,[04] Support,"Use/ACT: necessary to ensure the maintenance of human agency responsibility, proportionality and accountability regarding the potential use of any weapon and the ability of human operators to effectively supervise any weapon undertake the necessary interaction that could either be directive or preventive and to deactivate, terminate or abort the operation of the weapon altogether",,,,,,,,,,
ITALY,10:24:31,0:00:00,0:05:42,[04] Support,"different views on whether we should simply refer to human intervention or whether we should talk instead of intervention by a human operator. Human intervention is certainly broader, but it lacks the element of agency that the reference to the operator implies.",,,,,[99] Something else,"TGT/ENG: [characterization] For instance, we think it is better to use here only select and engage rather than identify, select, track and engage as this might leave out a number of systems. The way we read the first paragraph is that the key moment is activation. The last moment a human intervenes and then the system can engage and can select and engage a target by itself. As this is phrased, the system can also be deactivated by a human before it selects and engages or it can self-destruct if certain conditions are not met before it engages.",,,,,,,,,,,,,[99] Something else,"Use/ACT: [metadiscourse/""useful""] [characterization]",,,,,,,,,,
UNITED STATES,10:24:02,0:00:00,0:05:44,[04] Support,"For us, we believe we are talking about weapons that are operated by military operators. And so having a term that is a little bit more precise about the nature of the person that is involved in engaging with the machine we think is important. And so the idea that we had would be to at the end of the clause, the current draft reads without further human intervention. I think our idea would be to delete human there and to just add a simple clause at the end that would read without further intervention by the operator so that that gets at the idea that there is a person that is operating the system and then if you tacked on the words after activation, it would I think capture both of the steps that we think are missing in the current definition and be more suggestive of a weapon whose nature is to include the types of technologies that require activation and involvement by the human operator.",,,,,[99] Something else,"TGT/ENG: [characterization] understanding it, weapon systems that can select and engage a target without further human intervention, that is how we understand the current state of play.",,,,,,,,,,,,,[99] Something else,ACT: [characterization] highlight the role of the operator and the fact that there is an activation step. We had the word activation. That is one of the words that we have been discussing. But activation is an important idea because it suggests that there is a system in this and that there is a person who is taking responsibility for engaging with that system.,,,,,,,,,,
CUBA,17:17:34,0:00:00,0:03:52,[04] Support,"notion of human intervention, which is important. We believe that keeping the human component is essential were we to consider other proposals such as an operator involvement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,12:23:39,0:00:00,0:04:24,[04] Support,"when we talk about human intervention, we think that human intervention is too broad a concept. We prefer the concept of involvement because it is clear, involvement actually of an operator because human intervention could be anyone, could be it is not sufficiently focused but as I said also in a previous intervention",,,,,[03] Direct use,"CF/TGT/ENG: We are talking about making decisions, making decisions on, you know, what to what target to engage and this is crucial because at the end of the day we are talking about international humanitarian law and responsibility of an agent, someone who should be responsible under international humanitarian law for the operation of a system and as I said, for the final decision along the various critical functions that is that of applying force engaging a target.",,,,,,,,,,,,,,,,,,,,,,,,
ITALY,10:15:08,0:00:00,0:05:11,[04] Support,"We need to reflect on how specific we want to be when it comes to human intervention or involvement, whether it is necessary to refer to the individual operator and what that implies in terms of decision making",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SALVADOR,10:27:46,0:00:00,0:02:52,[04] Support,we believe that it is essential to keep a component on human intervention. We would even consider a human operator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,11:09:31,0:00:00,0:05:46,[04] Support,"element of control but we would still like to pose it as an idea to include here. If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in [...] [attacks] must be applied by human operators and commanders through a chain of responsible command and control. What we really like in this text is the notion must be applied by human operators and commanders.",[04] Support,"If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in the text must be applied by human operators and commanders through a chain of responsible command and control. What we really like in this text is the notion must be applied by human operators and commanders.",[04] Support,"If you look at some of the formulations, some of the text that we have produced in 2019, there is also one element that says IHL requirements including inter alia distinction proportionality and precautions in the text must be applied by human operators and commanders through a chain of responsible command and control.",,,[04] Support,ATK: distinction proportionality and precautions in attack and the attack element is definitely important to us as well with regard to autonomous weapon systems. Then we all know that this has been a discussion in the room when we adopted this text and it was I think it was a close call if we could talk about human control in this formulation and we should definitely try to get the human back into this text. We would also propose that we start this para with human.,[04] Support,"CTRLOVW: change them slightly back which is especially the first para. When we adopted this in 2023 in the report, it was control over weapon systems and this is definitely something that we would need. It is a considerable difference if we say control with regard to weapon systems or control over weapon systems.",[04] Support,"at the end of the human judgment paragraph to add in the words including the principles and requirements of distinction, proportionality and precautions in attack, just as you have above, just essentially to make the two paragraphs align.",,,,,,,,,,,,,,,,,,
AUSTRALIA,15:36:42,0:00:00,0:06:33,[03] Direct use,"human operator being able to change the mode of operation including deactivation. Several Delegations in this GGE have put forward the idea that laws must be equipped with certain technical features for them to be compliant with IHL. We consider that certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack. We do not regard these features as being required by IHL in all circumstances.",,,,,[04] Support,"TGT: [deployment] The controls needed will depend on the capabilities and limitations of the weapon system, the nature of the targets and the operational environment.",[04] Support,"ATK: We consider that certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack.",,,,,,,,,,,[01] Caveat,"u/ACT: certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack. We do not regard these features as being required by IHL in all circumstances.",,,[04] Support,appropriate level of human involvement across the life cycle of a weapon system will be required to ensure compliance with IHL.,,,[04] Support,The controls needed will depend on [...] the operational environment. [...] Very different controls and levels of human involvement would be required in a static environment with no civilians or civilian objects present as opposed to a cluttered dynamic environment where there is a risk of civilian harm. ,[04] Support,to ensure compliance with IHL. The specific type of human machine interaction that might be required will be highly context specific.
NORWAY,15:53:15,0:00:00,0:04:15,[03] Direct use,"Systems operating outside of meaningful human control which, for instance, would prevent an operator from deciding or altering the parameters of a system at any given time would in our view be incompatible with IHL.",,,,,,,,,,,,,,,,,,,,,,,[04] Support,compatibility of autonomous weapons systems with IHL depends on the level of human involvement throughout the whole life cycle of a weapons system,[04] Support,"Systems operating outside of meaningful human control which, for instance, would prevent an operator from deciding or altering the parameters of a system at any given time would in our view be incompatible with IHL.",,,,
RUSSIAN FEDERATION,11:54:21,0:00:00,0:11:46,[03] Direct use,"Decision making on the appropriateness of the forms and the ways of use of lethal autonomous weapons systems is carried out by a human operator planning the military operation and setting out scenarios for use, the so-called mission of such systems.",,,,,,,,,,,,,,,,,[04] Support,"PLAN: appropriateness of the forms and the ways of use of lethal autonomous weapons systems is carried out by a human operator planning the military operation and setting out scenarios for use, the so-called mission of such systems",[99] Something else,"Use/ACT: [deployment] Decision making on the appropriateness of the forms and the ways of use of lethal autonomous weapons systems is carried out by a human operator planning the military operation and setting out scenarios for use, the so-called mission of such systems.",,,," in line with international law, responsibility for decisions to create and apply lethal autonomous weapon systems at all stages of their life cycle is born by states and by individuals including the developers, the manufacturers, those who use the weapon systems with autonomous functions",,,,,,
UNITED STATES,12:42:26,0:00:00,0:03:56,[03] Direct use,"second proposed addition would be the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack must be applied through a chain of responsible command and control by the human operators and commanders who use weapon systems.",[04] Support,"And then the second proposed addition would be the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack must be applied through a chain of responsible command and control by the human operators and commanders who use weapon systems.",[04] Support,"And then the second proposed addition would be the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack must be applied through a chain of responsible command and control ",,,[04] Support,"ATK: The first is compliance with the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack and the potential use of weapon systems requires inter alia that human beings make certain judgments in good faith based on their assessment of the information available to them at the time. And then the second proposed addition would be the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack must be applied through a chain of responsible command and control by the human operators and commanders who use weapon systems.",,,[04] Support,"[IHL requirement]: compliance with the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack and the potential use of weapon systems requires inter alia that human beings make certain judgments in good faith based on their assessment of the information available to them at the time. And then the second proposed addition would be the IHL requirements and principles including inter alia distinction, proportionality and precautions in attack must be applied through a chain of responsible command and control by the human operators and commanders who use weapon systems.",,,,,,,[04] Support,Use: The first is compliance with the IHL requirements and principles [...] in attack and the potential use of weapon systems requires inter alia that human beings make certain judgments in good faith based on their assessment of the information available to them at the time. [...] addition would be the IHL requirements and principles [...] must be applied through a chain of responsible command and control by the human operators and commanders who use weapon systems.,[99] Something else,AS: compliance with the IHL requirements [...] requires [...] that human beings make certain judgments in good faith based on their assessment of the information available to them at the time.,,,,,,,,
FRANCE,11:28:14,0:00:00,0:04:37,[03] Direct use,"prefer to speak of human intervention rather than intervention by the human operators because to our mind, the term "" human intervention "" is more broad and allows for the totality of the chain of command control to be included, not restricting it merely to the weapon operator.",,,,,[99] Something else,"CF/t/ENG: [characterization] the term "" track "" could be discarded in order to give priority to identify, select and engage as critical functions that the system can do autonomously",,,,,,,[99] Something else,DEV: it would be premature to try and approve a common definition at this stage given the exploratory nature of our discussions and technological developments,[99] Something else,"VAL: [deployment/characterization] We believe that the concept of "" once activated "" is critical because it [...]  highlights the decisive stage when the chain of command validates the command given to the machine and delegates a certain degree of autonomy to [....] We consider that fully autonomous weapon systems are systems that can modify their initial action domain, their mission or their framework of use without humans validating this change. However, autonomy can also apply to certain functions of the system without that making the system a fully autonomous entity that would set its own rules. This would be partial autonomy that is subjected to human control which subordinates the work of the system to a clear framework that is defined by the human themselves.",[99] Something else,"DEPLOY: [characterization] the concept of "" once activated "" is critical because it makes it possible to draw a distinction between the phase where you have got initial or nominal human control and then the deployment",[99] Something else,Use/ACT: [characterization],,,,,,,,,,
JAPAN,15:22:06,0:00:00,0:02:39,[03] Direct use,"many existing weapons systems which identify targets in advance by human operators and automatically select and engage once activated have been used without controversy. This categorized weapon system includes, for example, homing missile with autonomous functions. Given this, without weapons that require operators to identify targets or target groups for engagement or selection and engagement should not be classified among those that are particularly concerning in this GGE's discussions, those discussions.",,,,,[01] Caveat,"TGT/ENG: many existing weapons systems which identify targets in advance by human operators and automatically select and engage once activated have been used without controversy. This categorized weapon system includes, for example, homing missile with autonomous functions. Given this, without weapons that require operators to identify targets or target groups for engagement or selection and engagement should not be classified among those that are particularly concerning in this GGE's discussions, those discussions.",,,,,,,,,,,,,[99] Something else,Use/ACT: [characterization] [on adding identify] And many existing weapons systems which identify targets in advance by human operators and automatically select and engage once activated have been used without controversy.,,,,,,,,,,
IRELAND,10:57:43,0:00:00,0:01:24,[03] Direct use,For my Delegation nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages.,,,,,[04] Support,TGT/ENG: For my Delegation nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages. Its inclusion in the characterization is important here clarifying that this type of nominal human input does not allow for context appropriate human involvement and judgment or human control and therefore does not meet the criteria needed to ensure compliance with IHL and would fall under the scope of prohibitions and restrictions.,,,[04] Support,CTRLOVW: nominal human input refers to minimal or limited involvement of a human operator where the human only plays a supervisory role and has no control over the weapons actions in particular during targeting and engagement stages.,,,,,,,,,,,,,,,,,,,,
CHINA,16:55:35,0:00:00,0:04:11,[03] Direct use,"autonomous functions may be involved in different parts of the weapons systems mission chains but it is these autonomous functions in the kill chain that really has a key impact which may lead to laws performing kill missions with results that are inconsistent or contrary to the intention of the human operator or even lead to indiscriminate killing or injury. Therefore, the working characterization of laws should emphasize the autonomy in the kill chain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEXICO,11:36:09,0:00:00,0:07:50,[01] Caveat,"[characterization] We also agree with what the ICRC said according to which it would be better to use the term user rather than operator. The category of operator can be a very broad one and there are other proposals that identified the relevance, for instance, of command and control. [...] We also agree with Austria that we could limit or rather it would not be appropriate to restrict ourselves to operator when we discuss accountability either.",,,[04] Support,"We also agree with what the ICRC said according to which it would be better to use the term user rather than operator. The category of operator can be a very broad one and there are other proposals that identified the relevance, for instance, of command and control",[04] Support,CF/TGT/ENG: weapons full spectrum there must be a meaningful human decision at the level of critical functions,,,,,,,[04] Support,"DEV: the term once activated could be a practical consideration of the weapons operation, but it does not exclude the measures that this group of experts will have to consider, especially as regards the design, development, legal assessment in accordance with Article 36",,,[04] Support,"DEPLOY: Mexico believes we should consider autonomous weapons in the full spectrum. So the term once activated could be a practical consideration of the weapons operation, but it does not exclude the measures that this group of experts will have to consider, especially as regards [...] its deployment",[04] Support,"Use/ACT: We do welcome the definition by the United States, though, and Germany for those Delegations, activation is what establishes that clear indispensable link with the systems technology. [...] I think that the discussion about the term once activated has opened up other topics for discussion, for instance, whether that activation must be done by a human or whether it could be automatic activation or autonomous activation as the Russian Federation was pointing towards. For Mexico, this characteristic would be determined depending on the viability of human involvement at the time of engagement [...] and the use of force. Still regarding the term once activated, Mexico believes we should consider autonomous weapons in the full spectrum. So the term once activated could be a practical consideration of the weapons operation, but it does not exclude the measures that this group of experts will have to consider, especially as regards the design, development, legal assessment in accordance with Article 36, its deployment and its use. ",[99] Something else,AS: legal assessment in accordance with Article 36,,,,,,,,
UNITED STATES,12:13:02,0:00:00,0:10:11,[01] Caveat,autonomous functions can assist the operator in controlling the effects of the weapons system better than without such capabilities.,,,,,,,,,,,,,,,,,,,,,[99] Something else,EF: [use] autonomous functions can assist the operator in controlling the effects of the weapons system better than without such capabilities.,,,,,,,,
RUSSIAN FEDERATION,16:04:00,0:00:00,0:09:09,[01] Caveat,"we are convinced that lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations. [...] And as a third risk that we would like to highlight is something related to the taking by the system or by the operator of erroneous decisions.",,,,,,,[01] Caveat,"CONS/a: lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations",,,,,,,,,,,[01] Caveat,"Use: we are convinced that lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations.",,,,,,,,,,
RUSSIAN FEDERATION,10:30:35,0:00:00,0:19:25,[01] Caveat,"autonomy is defined by the lack of any intervention by the operator, involvement by the operator",,,,,,,,,,,,,,,,,,,[99] Something else,"Use/a: without univocal understanding of what these weapon systems [...] are, it would be very difficult to discuss [...] its use so as to minimize risks.",,,,,,,,,,
AUSTRIA,16:29:09,0:00:00,0:05:24,[01] Caveat,"change that we are seeing here from this definition with regards to the further human intervention and some colleagues have already made the point that if we are saying we are being too precise and referring to a specific human operator, we are getting into a little bit of a dangerous territory by indicating that there is one specific person and that there is not a group or general human intervention that is needed in this regard.",,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
IRELAND,16:17:48,0:00:00,0:02:21,[01] Caveat,limiting further intervention to a single human operator could unnecessarily limit the range of agents that would be involved and thus suggest amending to can select and engage a target without further human intervention at the end of the paragraph.,,,,,[99] Something else,TGT/ENG: [characterization] limiting further intervention to a single human operator could unnecessarily limit the range of agents that would be involved and thus suggest amending to can select and engage a target without further human intervention at the end of the paragraph,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,16:17:04,0:00:00,0:02:38,[01] Caveat,we support inserting human intervention that has the benefit of covering the entire command and control chain and being broader than the term human operator.,,,[99] Something else,[suggesting language without context] we support inserting human intervention that has the benefit of covering the entire command and control chain and being broader than the term human operator.,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,17:37:22,0:00:00,0:06:46,[00] Oppose,"If we are talking about a definition of this category of weapons, then for us it is really quite evident that if we are talking about lethal autonomous weapons systems, then in one way or another we are going to have to discuss the kinds of weapons whose functions are fully carried out without any kind of human operators' involvement at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,12:26:51,0:00:00,0:03:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[01] Caveat,"we do not consider it helpful to introduce the concept of human control here [characterization, what functions of laws would be autonomous?] human involvement and human machine interaction in the context of the application of IHL to laws and in risk mitigation measures"
SWEDEN,11:33:09,0:00:00,0:04:36,,,,,,,[04] Support,"TGT: Weapons systems may vary greatly depending on their [...] target [...] limits. As such, the level of human machine interaction may also vary greatly and its limits must be taken into account. The specific measures required for human control will thus need to be context dependent and assessed on a case-by-case basis.",,,,,,,,,,,,,[04] Support,Use/a: we consider that preserving human control over the use of force is a key objective and measures to ensure that human control is maintained should be considered throughout the entire life cycle of a weapons system,,,[04] Support,,,,,,[04] Support,the level of human machine interaction may also vary greatly and its limits must be taken into account. 
UNITED STATES,15:21:52,0:00:00,0:12:25,,,,,[04] Support,"the US Delegation does not support characterizing human control as a requirement of IHL. It is a means, it is one means, an important means, but not the only means that can enable compliance with IHL. Also see as a way out of some of this language, I wanted to appreciate the suggestion from Australian colleagues about the GGE already having reached consensus on the concept of operating systems within a responsible chain of human command and control",,,,,,,,,,,,,,,,,,,,"With regard to the next bullet, throughout the life cycle of laws, et cetera, I think the general comment we wanted to make here was a desire to move our conversation towards greater specificity and enabling more effective implementation of the various measures that will be a part of our instrument. We already have broad language about the importance of human machine interaction throughout the life cycle. Rather than renegotiating that guiding principle, we think we should be focusing on what requirements at particular stages of the life cycle can be taken or what practices can be taken at the various stages in support of the effective implementation of the legal requirements during use.",,,,,[04] Support,we have already negotiated language on human machine interaction and a great deal of good consensus work has been done on that. 
COSTA RICA,11:12:22,0:00:00,0:04:51,,,,,,,,,,,,,,,[99] Something else,DEV: [developing norms] eight articles of the draft protocol develop the key elements,,,,,,,,,[04] Support,human control must be rated to all the whole life cycle,,,,,[04] Support,"The eight articles of the draft protocol develop the key elements that have become recurrent in our discussion on how to consolidate the regulation on AWS, characterization and with this section it deals with the notion on human machine interaction, meaningful human control and ethical considerations, responsibility and accountability."
ISRAEL,11:16:56,0:00:00,0:04:06,,,,,,,[04] Support,"TGT/ENG: would be governed by IHL rules that apply to the conduct of hostilities and in particular the targeting rules of IHL. [...] Therefore, there are three interdependent aspects for assessing the implementation of relevant IHL rules. First, the technical characteristics and capabilities of a weapons system. Second, the human element. And third, the operational context.",,,,,[01] Caveat,"[IHL requirement]: In any event, as we stressed yesterday, aspects such as foreseeability and predictability as well as real-time human involvement in the system's operation are not in and of themselves IHL requirements but rather practical aspects which are relevant when assessing how to comply with IHL rules together with other factors.",,,,,[04] Support,"RULESOE: Consideration of the three aspects needs to provide sufficient assurance that the employment of the weapons system would be in conformity with applicable law, rules of engagement and the intentions of its users.",[99] Something else,Use: [legality of AWS],,,[01] Caveat,"the human element or human involvement is integrated at various stages of [doesn’t say all] the life cycle of weapons systems. [...] To conclude, the components we deem appropriate for a case-by-case determination of a weapon system legality in its use encompass the particular weapon systems inherent characteristics and capabilities, the type and level of human input during the various stages of its life cycle and the operational context in which it is deployed.",,,,,[04] Support,"Consideration of the three aspects [technical aspects, human involvement, and operational context] needs to provide sufficient assurance that the employment of the weapons system would be in conformity with applicable law, rules of engagement and the intentions of its users. [...] the type and level of human machine interaction will be determined by the characteristics and capabilities of the particular system in question in view of the operational circumstances and the mission's requirements. In any event, as we stressed yesterday, aspects such as foreseeability and predictability as well as real-time human involvement in the system's operation are not in and of themselves IHL requirements but rather practical aspects which are relevant when assessing how to comply with IHL rules together with other factors."
UNITED STATES,12:06:38,0:00:00,0:10:42,,,,,,,,,,,,,,,[99] Something else,DEV: [developments in the GGE],,,,,[99] Something else,Use: [potential use/deployment] [guiding principle C] man machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL,,,[01] Caveat,guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle [doesn't say all] of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining,,,,,[04] Support,the basic idea in guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining the quality and extent of human machine interaction a range of factors should be considered including the operational context and the characteristics and capabilities of the weapon system as a whole. And I think there is a lot of good language and ideas in guiding principle C and I think our suggestion is thinking about ways to elaborate and build upon guiding principle C rather than starting fresh.
SWITZERLAND,10:51:21,0:00:00,0:11:56,,,,,,,[04] Support,"TGT/ENG: control needed depends on situational factors. And this brings me to the first bullet, the operational context, the characteristics and capabilities of autonomous weapons as well as the anticipated targets all matter and influence the determination whether the use of an autonomous weapon in an attack complies with IHL [...] What stands at the center is really the idea that humans must take measures at different stages in the life cycle of a weapon including in the engagement of autonomous weapon systems and understand their functioning in appropriate ways.",[04] Support,"ATK: human control is a specific tool and the specific type of control needed depends on situational factors. And this brings me to the first bullet, the operational context, the characteristics and capabilities of autonomous weapons as well as the anticipated targets all matter and influence the determination whether the use of an autonomous weapon in an attack complies with IHL. ",,,,,,,,,,,[04] Support,"Use: on human control, the starting point is that autonomous weapons must operate in compliance with international law and within a framework that ensures a sufficient degree of and a type of human control over the entire life cycle of a weapon system. [...] This is why the role of humans in the use of autonomous weapon systems has emerged as the central element in ensuring compliance with IHL. And moreover, we now have a shared understanding that certain degree of control over the use of force is not only necessary to comply with IHL but it is also important from an operational perspective and in terms of ethical accessibility. ",,,[04] Support,,,,,,[04] Support,"We are of the view that last year we reached a point where differences in mere terminology carry less weight, whether we call it human machine interaction, human judgment, human involvement or whatever objective we put in front of human control. We think this is a good starting point to now shift discussions from terminology to concrete and operational concepts of control or involvement."
SIERRA LEONE,12:28:00,0:00:00,0:04:14,,,,,,,,,,,,,,,,,,,,,,,[04] Support,EF: There is a going call [...] to prohibit [AWS] that functions in such a way that their effects cannot be predicted and those with the power and discretion to take lives without human involvement,,,,,,,[04] Support,"It is our view that the new mandate should focus on incorporating elements of characterization with emphasis on human-machine interaction, [...]."
