Speaker,Time,Date,Duration,Trimmed Statement,Operator,Notes,Commander,Notes,"CONS/a: lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations",Notes,critical functions (target + engag*),Notes,consequence (attack),Notes,CTRL over laws,Notes,study or pre-research and development (require*),Notes,research and development (develop*),Notes,"Aquisition (testing and evaluation, validation and verification, and final legal review)",Notes,"Deployment phase (deploy/plan/standard operating procedure/ rules of engagement/target profile/"" train"")",Notes,"Use (activa, "" use"")",Notes,Post-Use,Notes,Life Cycle,Notes,parameters of use,Notes,environment,Notes,human-machine interaction,Notes
VENEZUELA (BOLIVARIAN REPUBLIC OF),12:31:49,0:00:00,0:04:27,"Fourth, lack of meaningful human control to ensure that the use of force in armed conflict is incompatible with IHL and the capacity to intervene also contravenes its principle. We know that the context requires a retroactive implementation of IHL in context of laws. However, the capacity of existing international law including IHL to address all legal shortcomings particularly with regard to human control or meaningful human control independently from the context in all stages including design and programming is one of the reasons why my Delegation has requested a negotiating mandate within a legally binding instrument for this aspect. In any context, the design and programming and development and deployment of these weapons requires keeping human control because a machine cannot make the necessary value judgments or detect or interpret a nonintentional behavior, for example, in changing contexts as would be able to a human controller or operator.",[04] Support,"design and programming and development and deployment of these weapons requires keeping human control because a machine cannot make the necessary value judgments or detect or interpret a nonintentional behavior, for example, in changing contexts as would be able to a human controller or operator.",,,,,,,,,,,,,[04] Support,"DEV: the design and programming and development and deployment of these weapons requires keeping human control because a machine cannot make the necessary value judgments or detect or interpret a nonintentional behavior, for example, in changing contexts as would be able to a human controller or operator",,,[04] Support,DEPLOY: deployment of these weapons requires keeping human control,[04] Support,Use/ACT: lack of meaningful human control to ensure that the use of force in armed conflict is incompatible with IHL and the capacity to intervene also contravenes its principle,,,,,,,,,,
PAKISTAN,11:25:17,0:00:00,0:08:08,"We believe that the principles of predictability, reliability, understandability and explainability are not extraneous to IHL just because they are not included in those terms. In fact, they are foundational to ensuring that these weapon systems operate within the established norms that have been set up by the IHL. [...] Similarly, if we talk about understandability and explainability, we also believe that these principles are crucial for maintaining accountability and human oversight in the deployment of laws. For instance, these principles would ensure that human operators can comprehend and justify the actions taken by autonomous weapon systems, thereby upholding the IHL mandate of human responsibility for decisions made in the battlefield. So in that context, we are operationalizing and giving further means to apply those existing IHL principles. Then a minor observation on the bullet point which mentions the changes the mode of operation including deactivation. I think we need to be more clear here when we talk about the option, the capability of having interruptibility during all stages of operation and use by a human so that compliance with the IHL could be adhered to at all times.",[04] Support,"principles would ensure that human operators can comprehend and justify the actions taken by autonomous weapon systems, thereby upholding the IHL mandate of human responsibility for decisions made in the battlefield. So in that context, we are operationalizing and giving further means to apply those existing IHL principles.",,,,,,,,,,,,,,,,,[04] Support,DEPLOY: maintaining accountability and human oversight in the deployment,[04] Support,"Use/ACT:  mentions the changes the mode of operation including deactivation. I think we need to be more clear here when we talk about the option, the capability of having interruptibility during all stages of operation and use by a human so that compliance with the IHL could be adhered to at all times.",,,,,,,,,,
PAKISTAN,12:20:03,0:00:00,0:03:30,"The second new paragraph after splitting would focus on ensuring provisions for human users to intervene, interrupt and deactivate after activation and incorporation of self-destruct, self-deactivation or self-neutralization mechanism. And in the end, we also would like to echo the remarks made by ICRC that I think the appropriate training and instructions for human operators already, of course, agreed conclusion from 2023 could be moved to next section and we could make the language, we could improve the language to make it more binding.",[04] Support,"echo the remarks made by ICRC that I think the appropriate training and instructions for human operators already, of course, agreed conclusion from 2023 could be moved to next section and we could make the language, we could improve the language to make it more binding.",,,,,,,,,,,,,,,,,[04] Support,TRA: echo the remarks made by ICRC that I think the appropriate training and instructions for human operators already,[04] Support,"Use/ACT: ensuring provisions for human users to intervene, interrupt and deactivate after activation and incorporation of self-destruct, self-deactivation or self-neutralization mechanism",,,,,,,,,,
IRELAND,15:28:18,0:00:00,0:01:30,"We also regret to see human intervention go, which is an important concept that has been supported by many Delegations including my own. One of our concerns was limiting the intervention to a sole human user. We would suggest adding or users to the end of this paragraph in order to encapsulate the full range of agents that could be involved in the deployment and use of autonomous weapons systems.",,,,,,,,,,,,,,,,,,,[04] Support,DEPLOY: suggest adding or users to the end of this paragraph in order to encapsulate the full range of agents that could be involved in the deployment and use of autonomous weapons,[04] Support,Use: One of our concerns was limiting the intervention to a sole human user. We would suggest adding or users to the end of this paragraph in order to encapsulate the full range of agents that could be involved in the deployment and use of autonomous weapons systems.,,,,,,,,,,
COSTA RICA,12:21:25,0:00:00,0:02:51,"On provisions and regulations, Costa Rica is in favor for legally binding instruments that bands antipersonnel autonomous weapons that operate without human control accompanying regulations that limit the use of such weapons systems in line with IHL and other legal international frameworks limiting the scope and objectives in order to guarantee that such systems are only deployed within the objectives that are designated as military by nature. On human control for Costa Rica, it is crucial that decisions and actions that activate these systems can be traceable and tributable to human beings. Lack of clarity and lack of significant or meaningful human control can not facilitate impunity in the use of such weapons systems that will undermine international law. Costa Rica will conclude this first statement with a call for all of us to work to reach our common objective. Thank you.",,,,,,,,,,,,,,,,,,,[04] Support,DEPLOY: in favor for legally binding instruments that bands antipersonnel autonomous weapons that operate without human control accompanying regulations that limit the use of such weapons systems in line with IHL and other legal international frameworks limiting the scope and objectives in order to guarantee that such systems are only deployed within the objectives that are designated as military by nature,[04] Support,Use/ACT: [deployment] [bans] antipersonnel autonomous weapons that operate without human control accompanying regulations that limit the use of such weapons systems in line with IHL and other legal international frameworks limiting the scope and objectives in order to guarantee that such systems are only deployed within the objectives that are designated as military by nature.,,,,,,,,,,
IRELAND,11:29:39,0:00:00,0:03:07,"My Delegation also hopes to further develop common understanding with regard to the human element in the use of force. It is encouraging that the majority of Delegations recognize that human beings must retain control over decisions with regard to the use of force, that human beings must exert control over the application of force and that there is clear accountability and responsibility for any decision to use force. A future where the decision to take a human life is designated to a machine is not consistent with international laws, norms or values that we have collectively developed. This week it is imperative that we focus on specific issues as well as the proposed rules and measures that Delegations put forward. Your indicative timetable gives us an opportunity to undertake that exercise in a structured manner. However, we believe some important topics such as human control and ethics could be more pronounced within the work plan. We call on all Delegations to support targeted discussions this week with a clear objective of formulating a set of elements of an instrument.",,,,,,,[99] Something else,TGT/e: [targeted discussions],,,,,,,[99] Something else,DEV: [metadiscrouse] develop common understanding [...] norms or values that we have collectively developed,,,[99] Something else,PLAN/d: [procedures of GGE] important topics such as human control and ethics could be more pronounced within the work plan,[04] Support,"Use: human element in the use of force. [...] recognize that human beings must retain control over decisions with regard to the use of force, that human beings must exert control over the application of force and that there is clear accountability and responsibility for any decision to use force.",,,,,,,,,,
PAKISTAN,11:59:51,0:00:00,0:02:41,"The UN Secretariat General's report on laws reaffirms the urgent need to preserve human control over the use of force and urged us to fulfill the mandate as soon as possible. This urgency is not a mere rhetoric. Each day without a legally binding instrument brings us closer to a future where laws become the norm, a future where machine not human judgment determines the nature of warfare.",,,,,,,,,,,,,,,,,,,,,[04] Support,Use: Secretariat General's report on laws reaffirms the urgent need to preserve human control over the use of force,,,,,,,,,,
GERMANY,15:44:59,0:00:00,0:02:12,"Germany understands legal autonomous weapon systems to be systems that once activated are able to identify, select, track and apply force to targets while acting outside human control and the responsible chain of command. In addition, such systems do not allow for further human intervention and are capable of setting their own objectives or modifying the initial program or mission framework without the possibility of any human validation. However, we believe that human control is context specific. Therefore, it is of particular importance to us, to Germany, that certain self-defense systems such as the patriot missile system can and must be able to operate in an automatic mode without human intervention after activation without posing any international humanitarian law related or ethical challenges. Once activated, such systems are designed to automatically detect, select and engage targets without further human interaction when required by time critical factors, engagement of very fast targets such as artillery or in the case of missile defense. With regard to the rolling text, Germany would appreciate some clarification on the second paragraph. As far as we understand it, the addition of nominal human input would contradict the first paragraph which clearly states that laws are systems that operate outside human control and the responsible chain of command and select and engage the target without further intervention by a human operator. The addition of nominal input after activation would in our view best describe weapon systems with autonomous functions that as we described them allow human input after activation. From our point of view, it would therefore be helpful to clarify what is meant by the notion nominal.",[99] Something else,[characterization] laws are systems that operate outside human control and the responsible chain of command and select and engage the target without further intervention by a human operator,,,,,[99] Something else,"TGT/ENG: [characterization] As far as we understand it, the addition of nominal human input would contradict the first paragraph which clearly states that laws are systems that operate outside human control and the responsible chain of command and select and engage the target without further intervention by a human operator",,,,,,,,,[99] Something else,"VAL: [characterization] autonomous weapon systems to be systems that once activated are able to identify, select, track and apply force to targets while acting outside human control and the responsible chain of command. In addition, such systems do not allow for further human intervention and are capable of setting their own objectives or modifying the initial program or mission framework without the possibility of any human validation",,,[04] Support,ACT: [characterization] The addition of nominal input after activation would in our view best describe weapon systems with autonomous functions that as we described them allow human input after activation,,,,,,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),15:12:35,0:00:00,0:03:37,"First we reiterate the need to guarantee human control of the laws as a cornerstone of any regulatory framework. This principle must be clearly defined in order to avoid interpretations that might jeopardize ethics and security. Secondly we call for the inclusion of a complete ban on the development, production and use of lethal autonomous of laws that operate without human control highlighting the importance of preventing the risk associated with autonomy in the decision taking of lethal actions.",,,,,,,,,,,,,,,[04] Support,"DEV: complete ban on the development, production and use of lethal autonomous of laws that operate without human control",,,,,[04] Support,"Use/a: complete ban on the development, production and use of lethal autonomous of laws that operate without human control ",,,,,,,,,,
ITALY,11:14:49,0:00:00,0:02:54,"By this instrument, the development and use of lethal autonomous weapons systems would fully comply with the principles of international humanitarian law, preserve sufficient human control and ensure accountability.",,,,,,,,,,,,,,,[03] Direct use,"DEV: instrument, the development and use of lethal autonomous weapons systems would fully comply with the principles of international humanitarian law, preserve sufficient human control",,,,,[04] Support,"Use: development and use of lethal autonomous weapons systems would fully comply with the principles of international humanitarian law, preserve sufficient human control and ensure accountability.",,,,,,,,,,
FRANCE,11:01:13,0:00:00,0:03:26,It will include giving up lethal autonomous weapon systems that cannot be developed in line with the IHL and functioning outside of any human control and also states will focus on a certain number of principles that will guide the elaboration of national policies and measures for implementation with a view to accompany the development and use of partially autonomous weapon systems that are lethal.,,,,,,,,,,,,,,,[03] Direct use,DEV: giving up lethal autonomous weapon systems that cannot be developed in line with the IHL and functioning outside of any human control and also states will focus on a certain number of principles that will guide the elaboration of national policies and measures for implementation with a view to accompany the development and use of partially autonomous weapon systems that are lethal.,,,,,[04] Support,Use: It will include giving up lethal autonomous weapon systems that cannot be developed in line with the IHL and functioning outside of any human control and also states will focus on a certain number of principles that will guide the elaboration of national policies and measures for implementation with a view to accompany the development and use of partially autonomous weapon systems that are lethal.,,,,,,,,,,
ALGERIA,12:54:26,0:00:00,0:03:57,"The need for human judgment. The text focuses on the importance of human judgment in the use of weapon systems. This position is vital to ensure that decisions related to the use of force are not only automatized but incorporate ethical and legal thinking. This is essential to respect and uphold IHL. This element is a guarantor for military actions to remain under the responsibility of states and not machines. We would agree with some Delegations who have suggested that we add the qualifier human before control so as to dissipate any ambiguity because there are other forms of control guaranteed by machines and various advanced automatized systems. Having said that, we remain flexible as to the proposal on the suspension of the second paragraph which contains the human judgment because in our view human judgment is already implied in the concept of human control and therefore should be seen as a stage in the human control process.",,,,,,,,,,,,,,,,,,,,,[04] Support,Use: The text focuses on the importance of human judgment in the use of weapon systems. This position is vital to ensure that decisions related to the use of force are not only automatized but incorporate ethical and legal thinking.,,,,,,,,,,
NORWAY,12:36:42,0:00:00,0:02:25,We have therefore taken note of the call of the Secretary General of the United Nations to conclude by 2026 a legally binding instrument to prohibit lethal autonomous weapons systems that function without human control or oversight and which cannot be used in compliance with international humanitarian law.,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: function without human control or oversight and which cannot be used in compliance with international humanitarian law,,,,,,,,,,
COLOMBIA,12:33:40,0:00:00,0:02:06,"My Delegation would like to echo the very numerous Delegations who have taken the floor before me and who believe that it is very relevant and important that in the first paragraph of the text we add the qualifier "" human control "" and not just a simple reference to control. I do not want to dwell on it too much, but I would simply like to highlight that Colombia identifies itself with additional protocol 6 which the interregional countries submitted which is now called the G16 where we incorporated human control as part of characterization and we said it was part of the threshold of human control and necessary intervention to guarantee the maintenance of human intervention, the responsibility, proportionality and accountability in decision making over the use of any weapon and the capacity of human operators to effectively monitor any type of weapon to undertake necessary action which may be preventive and to deactivate completely the functioning of the weapon. That characterization on human control can be found in the Working Document 8 submitted in 2022 by the group of countries I mentioned which Colombia is a part of.",[04] Support,"threshold of human control and necessary intervention to guarantee the maintenance of human intervention, the responsibility, proportionality and accountability in decision making over the use of any weapon and the capacity of human operators to effectively monitor any type of weapon to undertake necessary action which may be preventive and to deactivate completely the functioning of the weapon.",,,,,,,,,,,,,,,,,,,[04] Support,"Use/ACT: threshold of human control and necessary intervention to guarantee the maintenance of human intervention, the responsibility, proportionality and accountability in decision making over the use of any weapon and the capacity of human operators to effectively monitor any type of weapon to undertake necessary action which may be preventive and to deactivate completely the functioning of the weapon.",,,,,,,,,,
ESTONIA,10:55:11,0:00:00,0:02:19,"However, Estonia would like to emphasize its national position related to human control which we find as one of the most important and complex elements in our discussions. Estonia firmly believes that humans must retain ultimate control and responsibility in relation to the use of force in armed conflict. We believe that humans should continue to be able to make ultimate decisions with regard to the use of lethal force by accepting sufficient and context appropriate control over lethal weapons systems they use. The aim of accepting human control over laws is to ensure that a weapon system operates consistently with international law and that humans remain accountable for decisions over life and death.",,,,,,,,,,,[04] Support,CTRL over laws: humans should continue to be able to make ultimate decisions with regard to the use of lethal force by accepting sufficient and context appropriate control over lethal weapons systems they use. The aim of accepting human control over laws is to ensure that a weapon system operates consistently with international law and that humans remain accountable for decisions over life and death.,,,,,,,,,[04] Support,Use/a: humans must retain ultimate control and responsibility in relation to the use of force in armed conflict. We believe that humans should continue to be able to make ultimate decisions with regard to the use of lethal force by accepting sufficient and context appropriate control over lethal weapons systems they use.,,,,,,,,,,
SWEDEN,12:11:56,0:00:00,0:01:28,We believe that laws that operates completely outside human control and responsible chain of command should be included under the provision part. [...] The use of law that operates without control and human judgment and without a responsible chain of command are prohibited.,,,,,,,,,,,,,,,,,,,,,[04] Support,Use: The use of law that operates without control and human judgment and without a responsible chain of command are prohibited.,,,,,,,,,,
SWEDEN,11:52:09,0:00:00,0:01:52,"Preserving human control over the use of force is a key objective and the preliminary considerations serve an important function in a future instrument. [...] It would read as follows: Human judgment is essential in order to ensure that lethal autonomous weapons systems can be used in compliance with international law and in particular IHL. [...] However, we would also like to note that the more precise requirements of human judgment and control need to be addressed in the regulations part and be dependent on the situations in which they are used which we still need to agree further on.",,,,,,,,,,,,,[04] Support,"However, we would also like to note that the more precise requirements of human judgment and control need to be addressed in the regulations part and be dependent on the situations in which they are used which we still need to agree further on.",,,,,,,[04] Support,"Use: Preserving human control over the use of force is a key objective [...] It would read as follows: Human judgment is essential in order to ensure that lethal autonomous weapons systems can be used in compliance with international law and in particular IHL. [...] However, we would also like to note that the more precise requirements of human judgment and control need to be addressed in the regulations part and be dependent on the situations in which they are used which we still need to agree further on.",,,,,,,,,,
IRELAND,12:26:34,0:00:00,0:01:28,"We welcome the recognition of the fundamental importance of maintaining human control and judgment which we believe is an essential area of convergence among high contracting parties. Crucially, we have reiterated the fundamental importance of the human element in the use of force, and that human beings must retain control over decisions over the use of force which is essential for ensuring compliance with IHL. In order to adequately reflect this core principle, we suggest that the first sentence in line with that proposed by other Delegations begin with human control over weapons systems as necessary to ensure compliance with international law. [....] We very much welcome the inclusion of the second paragraph on human judgment which is another key consideration underpinning our work and we thank you for its inclusion.",,,,,,,,,,,[04] Support,CTRLOVW: human beings must retain control over decisions over the use of force which is essential for ensuring compliance with IHL.,,,,,,,,,[04] Support,"Use: Crucially, we have reiterated the fundamental importance of the human element in the use of force, and that human beings must retain control over decisions over the use of force which is essential for ensuring compliance with IHL",,,,,,,,,,
PAKISTAN,10:43:47,0:00:00,0:06:05,"[...] for us, the primary [...] issue is what are those functions in which there is autonomy and without context appropriate human involvement and judgment, what kind of problems arise and we need to regulate and prohibit those systems. So in that spirit, we are very much satisfied with these two functions that you have listed, select and engage. Then the question of the second aspect, the element that I wanted to address is the question of further human intervention in nominal human input. We heard today the explanation on nominal human input. [...] I think it is a valid argument why we would have to, we would need to close this loophole. Again, primary reason being whether we would like to have such weapon systems where such a characterization where because of a certain loophole they can escape regulations just because there is a nominal input without any context based appropriate human involvement if those systems have the risk of escaping the regulations and if there is a risk, if there is a risk of such a loophole, we need to address that. Now, there could be two approaches. I think it was stated by the Italian ambassador today as well, whether we try to further define further human intervention, what is that human intervention, like kind of a positive characterization or second approach could be what cannot be a human intervention, further human intervention, kind of a negative characterization which excludes a certain range of actions in that context. From our point of view, we believe the second approach where we address that loophole is more realistic where we have significant chances of arriving at some sort of convergence that we are listing that there are certain systems that can select and engage a target without further human intervention but there are certain actions which will not constitute to be that human intervention and those actions are nominal human input that can arrive at any stage after the activation without context appropriate human involvement and judgment because we would want those systems to be regulated and fall in the scope of this instrument as well.",,,,,,,[04] Support,"ENG/c/t/: the primary [...] issue is what are those functions in which there is autonomy and without context appropriate human involvement and judgment, what kind of problems arise and we need to regulate and prohibit those systems. So in that spirit, we are very much satisfied with these two functions that you have listed, select and engage",,,,,,,,,,,,,[04] Support,ACT: actions which will not constitute to be that human intervention and those actions are nominal human input that can arrive at any stage after the activation without context appropriate human involvement and judgment because we would want those systems to be regulated and fall in the scope of this instrument as well.,,,,,,,,,,
PHILIPPINES,11:45:07,0:00:00,0:00:52,"echo the proposal of many other Delegations to add the word "" human "" before the word "" control "" in the first paragraph for preliminary considerations. It is necessary to ensure the maintenance of human agency responsibility, proportionality and accountability regarding the potential use of any weapon and the ability of human operators to effectively supervise any weapon undertake the necessary interaction that could either be directive or preventive and to deactivate, terminate or abort the operation of the weapon altogether. We also support the inclusion of the second paragraph in the preliminary considerations.",[04] Support,"necessary to ensure the maintenance of human agency responsibility, proportionality and accountability regarding the potential use of any weapon and the ability of human operators to effectively supervise any weapon undertake the necessary interaction that could either be directive or preventive and to deactivate, terminate or abort the operation of the weapon altogether.",,,,,,,,,,,,,,,,,,,[04] Support,"Use/ACT: necessary to ensure the maintenance of human agency responsibility, proportionality and accountability regarding the potential use of any weapon and the ability of human operators to effectively supervise any weapon undertake the necessary interaction that could either be directive or preventive and to deactivate, terminate or abort the operation of the weapon altogether",,,,,,,,,,
NETHERLANDS,11:47:48,0:00:00,0:01:47,"My Delegation would like to make some comments about the concept of autonomy. We agree with the Distinguished Representative of the United States that we should not necessarily narrow down our discussion and that autonomy exists on the spectrum. For a long time, automation has been integrated into weapon systems. A common definition of automation is the ability of a system to perform a given task without human intervention. Classical automation is rule based and usually there is a deterministic relation between the input the system receives and the output that it generates. Such systems are relatively predictable, but with the introduction of new technology such as artificial intelligence, systems can become goal oriented and self-directed instead of rule based and deterministic. Usually such goal oriented and self-directed systems are referred to with the term autonomous instead of automated, but we believe that both automated and autonomous systems can be placed on the spectrum of autonomy and as such, both automated and automated autonomous systems are the subject of our discussions. There is, of course, a difference between systems in the sense that more autonomous systems warrant different measures to maintain human judgment and control in order to use such systems in compliance with international law, but that is for a later discussion.",,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: There is, of course, a difference between systems in the sense that more autonomous systems warrant different measures to maintain human judgment and control in order to use such systems in compliance with international law, but that is for a later discussion.",,,,,,,,,,
LUXEMBOURG,12:11:03,0:00:00,0:02:18,"We understand the need and wish of Delegations to have a working definition or characterization to scope of our discussions here in the GGE, even though without the definition being final. [...] Also in relation to the potential bias, it could include as our colleagues from the German Delegation put out furthermore, we also would prefer the term human intervention as it is broader and reflects better the chain of command and control of the system. On deploying force or applying force, we were the ones that in our national submission used or submitted the term deploying force where we would, of course, be okay with the term applying force as it seems to have a broader support in the room.",,,,,[99] Something else,[characterization] would prefer the term human intervention as it is broader and reflects better the chain of command and control of the system,,,,,[04] Support,COTS: prefer the term human intervention as it is broader and reflects better the chain of command and control of the system,,,,,,,[98] Unclear,"DEPLOY: deploying force or applying force, we were the ones that in our national submission used or submitted the term deploying force where we would, of course, be okay with the term applying force as it seems to have a broader support in the room",[98] Unclear,"Use: A similar consistency problem exists in the next sentence to ensure that laws can be used as appropriate control is mentioned above, but the requirement here is only predictable, reliable, traceable and explainable, but no mention is made here of controllable.",,,,,,,,,,
SOUTH AFRICA,12:05:47,0:00:00,0:03:09,"In line with the principles established by the Convention on Certain Conventional Weapons and our obligations under international humanitarian law, South Africa reaffirms its position that all weapons, including laws, must be subject to effective human control. [...], we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, provisions to ensure transparency in the development and deployment of laws, machines for international cooperation and verification to prevent an arms race as well as safeguards to ensure that laws cannot be used in a manner that contravenes IHL and international human rights law.",,,,,,,,,,,[04] Support,CTRL over laws: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws,,,[04] Support,"DEV: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, provisions to ensure transparency in the development and deployment of laws",[04] Support,"VER: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, [...], machines for international cooperation and verification to prevent an arms race",[04] Support,"DEPLOY: we call for a comprehensive approach that includes a clear definition of what constitutes the meaningful human control over laws, provisions to ensure transparency in the development and deployment of laws",[99] Something else,Use: [deployment] safeguards to ensure that laws cannot be used in a manner that contravenes IHL and international human rights law.,,,,,,,,,,
FRANCE,11:28:14,0:00:00,0:04:37,"We believe that the concept of "" once activated "" is critical because it makes it possible to draw a distinction between the phase where you have got initial or nominal human control and then the deployment stage of the system. It highlights the decisive stage when the chain of command validates the command given to the machine and delegates a certain degree of autonomy to it, a degree which is adapted to the context and to the mission that it must carry out. After having listened to the views of delegations earlier on this week, it appears that the term "" track "" could be discarded in order to give priority to identify, select and engage as critical functions that the system can do autonomously. This is the wording that appears in the report of the GGE of 2019, paragraph 19A. We would also prefer to speak of human intervention rather than intervention by the human operators because to our mind, the term "" human intervention "" is more broad and allows for the totality of the chain of command control to be included, not restricting it merely to the weapon operator. Chairman, more broadly speaking and in order to pick up on our latest comment, we believe that autonomy could be understood as a continuum. As we have already said this week, it would be premature to try and approve a common definition at this stage given the exploratory nature of our discussions and technological developments. We also believe that the definition should be intrinsically linked to the notion of human control. We consider that fully autonomous weapon systems are systems that can modify their initial action domain, their mission or their framework of use without humans validating this change. However, autonomy can also apply to certain functions of the system without that making the system a fully autonomous entity that would set its own rules. This would be partial autonomy that is subjected to human control which subordinates the work of the system to a clear framework that is defined by the human themselves.",[03] Direct use,"prefer to speak of human intervention rather than intervention by the human operators because to our mind, the term "" human intervention "" is more broad and allows for the totality of the chain of command control to be included, not restricting it merely to the weapon operator.",,,,,[99] Something else,"CF/t/ENG: [characterization] the term "" track "" could be discarded in order to give priority to identify, select and engage as critical functions that the system can do autonomously",,,,,,,[99] Something else,DEV: it would be premature to try and approve a common definition at this stage given the exploratory nature of our discussions and technological developments,[99] Something else,"VAL: [deployment/characterization] We believe that the concept of "" once activated "" is critical because it [...]  highlights the decisive stage when the chain of command validates the command given to the machine and delegates a certain degree of autonomy to [....] We consider that fully autonomous weapon systems are systems that can modify their initial action domain, their mission or their framework of use without humans validating this change. However, autonomy can also apply to certain functions of the system without that making the system a fully autonomous entity that would set its own rules. This would be partial autonomy that is subjected to human control which subordinates the work of the system to a clear framework that is defined by the human themselves.",[99] Something else,"DEPLOY: [characterization] the concept of "" once activated "" is critical because it makes it possible to draw a distinction between the phase where you have got initial or nominal human control and then the deployment",[99] Something else,Use/ACT: [characterization],,,,,,,,,,
CUBA,12:08:21,0:00:00,0:02:21,"Our Delegation in the context of characterization shares the view that points to the fact that there is a threshold which sets apart certain weapons systems which we tend to call semi-autonomous and then fully autonomous systems. In this distinction you find the critical functions and the retention of meaningful human control. On this particular point our Delegation maintains that the functions of selecting and engaging a target are those that will determine future characterization. We are looking at the element of activation and its place here. Regarding the question about whether it would be better to use apply or deployment of force, we are in favor of the word apply. We do not believe it is necessary to characterize the use of force as lethal or nonlethal, though. Like other Delegations, we prefer the term human intervention. This not only allows us to maintain the necessary flexibility for ensuring responsibility and accountability, but also it strengthens the notion of human control from the very outset of the characterization exercise. Thank you.",,,,,,,[04] Support,CF/TGT/ENG: Our Delegation in the context of characterization shares the view that points to the fact that there is a threshold which sets apart certain weapons systems which we tend to call semi-autonomous and then fully autonomous systems. In this distinction you find the critical functions and the retention of meaningful human control. On this particular point our Delegation maintains that the functions of selecting and engaging a target are those that will determine future characterization. ,,,,,,,,,,,[99] Something else,"DEPLOY: [characterization] whether it would be better to use apply or deployment of force, we are in favor of the word apply",[99] Something else,Use/ACT: [metadiscourse][characterization],,,,,,,,,,
CHINA,12:46:40,0:00:00,0:03:41,"A similar consistency problem exists in the next sentence to ensure that laws can be used as appropriate control is mentioned above, but the requirement here is only predictable, reliable, traceable and explainable, but no mention is made here of controllable.",,,,,,,,,,,,,[99] Something else,[metadiscourse],,,,,,,[99] Something else,"Use: A similar consistency problem exists in the next sentence to ensure that laws can be used as appropriate control is mentioned above, but the requirement here is only predictable, reliable, traceable and explainable, but no mention is made here of controllable.",,,,,,,,,,
RUSSIAN FEDERATION,10:30:35,0:00:00,0:19:25,"Regarding the notion of autonomy, we have also discussed this in detail and set out our views. We continue to abide by the opinion that autonomy is defined by the lack of any intervention by the operator, involvement by the operator. Difficulties surrounding the word involvement is something we are happy to discuss. We would like to draw attention, though, to the fact that regarding human control, a lot of work has been done by the group. We have a series of understandings linked to the concept of human involvement. We can speak about human control. We have the notion of human judgment. [...] We are open to further discussion of the characteristics and definitions. We believe that this is a critically important issue for the work of this group, given that without univocal understanding of what these weapon systems based on emerging technologies in the field of laws are, it would be very difficult to discuss the categories and not versions such as with human control in compliance with international humanitarian law and its applicability to these weapon systems and also the principle of precaution and its use so as to minimize risks.",[01] Caveat,"autonomy is defined by the lack of any intervention by the operator, involvement by the operator",,,,,,,,,,,,,,,,,,,[99] Something else,"Use/a: without univocal understanding of what these weapon systems [...] are, it would be very difficult to discuss [...] its use so as to minimize risks.",,,,,,,,,,
GERMANY,11:33:01,0:00:00,0:02:51,Our Delegation would prefer to keep the notion once activated or after activation as the colleagues from the US proposed for the following reasons. In our view any system that is not fully autonomous but features autonomy in certain functions will be put into a state of operation by an action. We therefore see the activation part as one of the relevant aspects of an emerging technology in the area of laws and crucial in its own right as it represents the point in time after which a system will fulfill the task it was specifically designed for. We align ourselves with the remarks just made by France in this regard and we also support the wording without further human intervention.,,,,,,,,,,,,,,,,,,,,,[99] Something else,u/ACT: [characterization] prefer to keep the notion once activated or after activation [...] We [...] see the activation part as one of the relevant aspects of an emerging technology in the area of laws,,,,,,,,,,
RUSSIAN FEDERATION,10:42:04,0:00:00,0:22:08,"Also, the definition of lethal autonomous weapon systems based purely on factors related to human control would hardly help us achieve a common understanding of what these systems are without having the necessary criteria for ensuring human control over machines and we would like to point out once again that we believe that these criteria are superfluous because the specific forms or methods of such control should be left in the hands of states that have the responsibility for ensuring such control in line with existing norms of IHL. [...] Now on the final bullet point here we believe an attempt is made to define autonomy in weapon systems and we believe that this bullet point can fully cover the category of autonomy and the understanding that a weapon system operates without any involvement of an operator can fully define the autonomy of such a weapon system. Now on the term operator this is a well known term. This is a term that is used in practice both the military and technical level, the applied level related highly automated systems that already exist today, systems that are functioning and are being employed by different countries. So this is a term that is relevant for the definition of laws. It is a very specific term in comparison to, for example, the term human involvement. We do not really understand what that means from a legal point of view..",[99] Something else,[characterization] autonomy and the understanding that a weapon system operates without any involvement of an operator can fully define the autonomy of such a weapon system.,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
